Datetime,SVD_O2A,SVD_O2B,SVD_O2A_PSII,NIR_v_O2A,NIR_v_O2B,NDVI,fPAR,fesc,Temperature_dataset0,rH,VPD,vwc,Rn,PAR_dataset0,Ca,GPP_dataset0
2021-05-24 08:00:00,0.0394548700615966,0.0129264487521058,0,0.28845428044195,0.0235900596483675,0.876882890074221,0.653926822806993,0.38680264253799,12.7585,85.3911,-124.395187979464,17.9,123.6832,364.9194,443.069,18.9099417888864
2021-05-24 08:30:00,0.0821075298599824,0.0251140097626476,0,0.273894416994645,0.0210576860124586,0.883464650391229,0.664724799960142,0.364024383276797,14.8325,75.8075,-126.182799434359,17.9,326.1927,797.36655,432.359,25.5883879304984
2021-05-24 09:00:00,0.0878606775391163,0.0223775689676063,0,0.287134142761987,0.0214294754320877,0.887150921686222,0.671565109560954,0.379309936999875,17.3442,68.3845,-133.426570656916,17.9,383.4876,954.1302,424.129,28.9582180264642
2021-05-24 09:30:00,0.10295642553885,0.0120450171502212,0,0.283436999621364,0.0212227080381383,0.886699375888846,0.672594693509644,0.373662494059607,18.7295,69.9373,-148.920410128235,17.8,459.544,1141.0002,424.595,32.153606716133
2021-05-24 10:00:00,0.0769768313664788,0.0158536531998132,0,0.249077075462389,0.0191369659834502,0.882868679344909,0.667241289876295,0.329569455615286,19.6468,66.7548,-150.398880048806,17.8,440.255,1081.2588,421.135,36.8433969549375
2021-05-24 10:30:00,0.1384062372045,0.0277826217606291,0,0.28219258309375,0.0219563398666579,0.882269682941269,0.666248916857916,0.373689104049374,21.1145,58.3448,-143.599439454673,17.8,613.6161,1446.6447,414.435,39.189549470485
2021-05-24 11:00:00,0.144524430952108,0.0391176843294102,0,0.264407942912511,0.0217745873625179,0.874213013055713,0.654267661612292,0.353294038528202,22.4859,50.8646,-135.771792539496,17.8,656.8173,1547.7045,408.835,37.7758223190752
2021-05-24 11:30:00,0.147179930683082,0.0333373079475012,0,0.264773298138935,0.0232814329528873,0.866284725879394,0.641314010407116,0.357654846574867,23.8783,46.573,-134.973793199868,17.7,736.9421,1712.712,404.34,39.998117855166
2021-05-24 12:00:00,0.146321317502746,0.0561929507193336,0,0.262643871970867,0.0253272662527985,0.85407436021831,0.622250617956136,0.360493650702313,24.9093,43.7134,-134.555239627788,17.7,766.6156,1760.1615,399.536,38.4867555221647
2021-05-24 12:30:00,0.153177403197524,0.0452619826603136,0,0.267097334791931,0.0283808452589341,0.839371642608339,0.602474228078609,0.372122023137163,25.7252,40.8158,-131.658054269654,17.6,759.1622,1749.8145,394.201,39.5349786707316
2021-05-24 13:00:00,0.148804479295016,0.0484325670355998,0,0.270842226704577,0.030854765464527,0.828548409509462,0.587599111240842,0.381903055792915,26.1876,38.0922,-126.051961430307,17.6,784.8355,1801.437,396.489,38.0921452977321
2021-05-24 13:30:00,0.145824002806296,0.0348583564894473,0,0.26932646943405,0.0290369469580823,0.837012602741656,0.598149403646915,0.376878498572049,27.1643,36.1303,-126.44314802366,17.6,773.2762,1810.1715,399.448,34.4727678794496
2021-05-24 14:00:00,0.146245520198937,0.0304328172679605,0,0.269665302527527,0.026937417834765,0.848615169119676,0.614017519446392,0.372696314131938,28.0085,34.247,-125.712970340435,17.6,743.3986,1774.509,398.78,37.4631464106148
2021-05-24 14:30:00,0.13519971154972,0.0347780683097685,0,0.269432039472233,0.0248011241119638,0.860399539309886,0.630615977259594,0.367607563076067,28.7337,33.1226,-126.685057922478,17.5,695.9752,1711.6185,399.705,35.9409840004778
2021-05-24 15:00:00,0.133407827062504,0.0276107885665247,0,0.272693488067354,0.0236123272460269,0.868898758357352,0.642655287867922,0.368693820259292,29.0213,32.6394,-126.872546988862,17.4,645.3928,1648.1295,399.795,32.9504800319756
2021-05-24 15:30:00,0.12939090160761,0.0331587347692242,0,0.274402602259769,0.0228278525023502,0.873911642479489,0.650042229776983,0.368904692428603,29.6011,32.0122,-128.584803602115,17.3,626.8375,1588.1145,398.697,34.337820366248
2021-05-24 16:00:00,0.111421284853101,0.024632759281276,0,0.281113651319882,0.0230401223013645,0.875444451622193,0.652226566070978,0.37732192941136,29.9187,31.2353,-127.672408890598,17.3,526.5475,1398.97665,398.891,37.024350499455
2021-05-24 16:30:00,0.0987615838720042,0.0225951874126858,0,0.285116421740747,0.0238353121507911,0.873671659739935,0.647178511615586,0.384898653046302,28.8897,31.7845,-122.508881895028,17.3,437.0499,1203.3786,398.037,29.4509592527146
2021-05-24 17:00:00,0.080450675661386,0.0177644856075307,0,0.291401234963436,0.0252574658301386,0.869030688218419,0.638381844562749,0.396685178196793,28.9166,30.1788,-116.299678937974,17.3,336.963,1006.7301,400.687,25.4245928739686
2021-05-24 17:30:00,0.0631493675925208,0.0148529914352303,0,0.299099433127635,0.0273228314434208,0.86224249819091,0.626998561919909,0.411318714412618,28.9447,30.1583,-116.406946773155,17.3,240.9631,800.63925,403.374,22.2570088410849
2021-05-24 18:00:00,0.0378873398826914,0.0107418411130795,0,0.3249322966021,0.0318642401493254,0.851791748613673,0.611270226194599,0.452786079287375,28.4339,30.4073,-113.978259697294,17.3,156.4538,582.35085,403.042,19.4501320040844
2021-05-24 18:30:00,0.0228144802641308,0.00393192618660713,0,0.270499601152278,0.0285727949871711,0.842192300932932,0.59694564652218,0.38163052670393,28.0601,30.1862,-110.690323931735,17.3,61.3838,350.1891,402.554,15.9111123307625
2021-05-24 19:00:00,0.00991571851048638,0.000230297669500184,0,0.303630467869334,0.032447274693706,0.840607874285077,0.597573098733539,0.427117891860849,26.8754,33.5027,-115.019940910853,17.3,17.1611,216.81975,402.129,13.4900162109623
2021-05-24 19:30:00,0.000997139364327621,-0.00196271810349677,0,0.37531814434182,0.0412922833499712,0.840029144274336,0.600922749396337,0.524656754863759,26.0381,35.801825,-116.458547315477,17.3,-29.8394,84.5505,405.458666666667,4.52156191852511
2021-05-25 07:00:00,0.0096696861930354,0.00259563283107429,0,0.288177647861581,0.0252693928865557,0.868742476434689,0.64132910608621,0.391647483528005,15.0045,88.6817,-149.546494621827,17.3,16.6394,119.1741,482.041,8.00034089188592
2021-05-25 07:30:00,0.0140400687331923,0.00462972395793456,0,0.284044241705483,0.0253091949647003,0.866584177939016,0.63791373326639,0.385864471730799,15.6002,89.636,-157.070084005461,17.3,47.6216,189.0231,474.093,9.77426340698193
